1, private, deeper_dark:amethyst_mines, MONSTER, mozombies_wave:disco_zombie, 6, 1, 4
2, private, deeper_dark:amethyst_mines, MONSTER, mozombies_wave:zombie_chef, 8, 1, 4
3, private, deeper_dark:amethyst_mines, MONSTER, mozombies_wave:zombie_creeper, 5, 1, 3
4, private, deeper_dark:amethyst_mines, MONSTER, mozombies_wave:zombie_cyborg, 5, 1, 4
5, private, deeper_dark:amethyst_mines, MONSTER, mozombies_wave:zombie_dwarf, 10, 1, 5
6, private, deeper_dark:amethyst_mines, MONSTER, mozombies_wave:zombie_herobrine, 5, 1, 1
7, private, deeper_dark:amethyst_mines, MONSTER, mozombies_wave:zombie_king, 5, 1, 2
8, private, deeper_dark:amethyst_mines, MONSTER, mozombies_wave:zombie_knight, 5, 1, 4
9, private, deeper_dark:amethyst_mines, MONSTER, mozombies_wave:zombie_miner, 5, 2, 7
10, private, deeper_dark:amethyst_mines, MONSTER, mozombies_wave:zombie_notch, 5, 1, 1
11, private, deeper_dark:amethyst_mines, MONSTER, mozombies_wave:zombie_pa, 5, 1, 2
12, private, deeper_dark:amethyst_mines, MONSTER, mozombies_wave:zombie_pirate, 7, 1, 3
13, private, deeper_dark:amethyst_mines, CREATURE, mozombies_wave:survivor, 5, 1, 4
14, badlands, minecraft:badlands, MONSTER, minecraft:spider, 80, 4, 4
15, badlands, minecraft:badlands, MONSTER, minecraft:zombie, 19, 4, 4
16, badlands, minecraft:badlands, MONSTER, minecraft:zombie_villager, 5, 1, 1
17, badlands, minecraft:badlands, MONSTER, minecraft:skeleton, 80, 4, 4
18, badlands, minecraft:badlands, MONSTER, minecraft:creeper, 80, 4, 4
19, badlands, minecraft:badlands, MONSTER, minecraft:slime, 80, 4, 4
20, badlands, minecraft:badlands, MONSTER, minecraft:enderman, 10, 1, 4
21, badlands, minecraft:badlands, MONSTER, minecraft:witch, 5, 1, 1
22, badlands, minecraft:badlands, MONSTER, minecraft:husk, 80, 4, 4
23, badlands, minecraft:badlands, MONSTER, mozombies_wave:disco_zombie, 6, 1, 4
24, badlands, minecraft:badlands, MONSTER, hwg:merc, 5, 1, 2
25, badlands, minecraft:badlands, MONSTER, skeletalremains:sharpshooterskeleton, 60, 1, 2
26, badlands, minecraft:badlands, MONSTER, hwg:spy, 5, 1, 2
27, badlands, minecraft:badlands, MONSTER, mozombies_wave:zombie_chef, 8, 1, 4
28, badlands, minecraft:badlands, MONSTER, mozombies_wave:zombie_creeper, 5, 1, 3
29, badlands, minecraft:badlands, MONSTER, mozombies_wave:zombie_cyborg, 5, 1, 4
30, badlands, minecraft:badlands, MONSTER, mozombies_wave:zombie_dwarf, 10, 1, 5
31, badlands, minecraft:badlands, MONSTER, mozombies_wave:zombie_herobrine, 5, 1, 1
32, badlands, minecraft:badlands, MONSTER, mozombies_wave:zombie_king, 5, 1, 2
33, badlands, minecraft:badlands, MONSTER, mozombies_wave:zombie_knight, 5, 1, 4
34, badlands, minecraft:badlands, MONSTER, mozombies_wave:zombie_miner, 5, 2, 7
35, badlands, minecraft:badlands, MONSTER, mozombies_wave:zombie_notch, 5, 1, 1
36, badlands, minecraft:badlands, MONSTER, mozombies_wave:zombie_pa, 5, 1, 2
37, badlands, minecraft:badlands, MONSTER, mozombies_wave:zombie_pirate, 7, 1, 3
38, badlands, minecraft:badlands, CREATURE, mozombies_wave:survivor, 5, 1, 4
39, badlands, minecraft:badlands, AMBIENT, minecraft:bat, 10, 8, 8
40, badlands, minecraft:badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
41, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:spider, 20, 4, 4
42, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie, 80, 4, 4
43, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie_villager, 5, 1, 1
44, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:skeleton, 80, 4, 4
45, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:creeper, 80, 4, 4
46, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:slime, 80, 4, 4
47, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:enderman, 10, 1, 4
48, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:witch, 5, 1, 1
49, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:ocelot, 5, 1, 1
50, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:cave_spider, 80, 4, 4
51, jungle, minecraft:bamboo_jungle, MONSTER, mozombies_wave:disco_zombie, 6, 1, 4
52, jungle, minecraft:bamboo_jungle, MONSTER, hwg:merc, 5, 1, 2
53, jungle, minecraft:bamboo_jungle, MONSTER, skeletalremains:overgrownskeleton, 50, 1, 2
54, jungle, minecraft:bamboo_jungle, MONSTER, hwg:spy, 5, 1, 2
55, jungle, minecraft:bamboo_jungle, MONSTER, mozombies_wave:zombie_chef, 8, 1, 4
56, jungle, minecraft:bamboo_jungle, MONSTER, mozombies_wave:zombie_creeper, 5, 1, 3
57, jungle, minecraft:bamboo_jungle, MONSTER, mozombies_wave:zombie_cyborg, 5, 1, 4
58, jungle, minecraft:bamboo_jungle, MONSTER, mozombies_wave:zombie_dwarf, 10, 1, 5
59, jungle, minecraft:bamboo_jungle, MONSTER, mozombies_wave:zombie_herobrine, 5, 1, 1
60, jungle, minecraft:bamboo_jungle, MONSTER, mozombies_wave:zombie_king, 5, 1, 2
61, jungle, minecraft:bamboo_jungle, MONSTER, mozombies_wave:zombie_knight, 5, 1, 4
62, jungle, minecraft:bamboo_jungle, MONSTER, mozombies_wave:zombie_miner, 5, 2, 7
63, jungle, minecraft:bamboo_jungle, MONSTER, mozombies_wave:zombie_notch, 5, 1, 1
64, jungle, minecraft:bamboo_jungle, MONSTER, mozombies_wave:zombie_pa, 5, 1, 2
65, jungle, minecraft:bamboo_jungle, MONSTER, mozombies_wave:zombie_pirate, 7, 1, 3
66, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:sheep, 12, 4, 4
67, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:pig, 10, 4, 4
68, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken, 10, 4, 4
69, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:cow, 8, 4, 4
70, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken, 10, 4, 4
71, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:parrot, 40, 1, 2
72, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:panda, 80, 2, 4
73, jungle, minecraft:bamboo_jungle, CREATURE, mozombies_wave:survivor, 5, 1, 4
74, jungle, minecraft:bamboo_jungle, AMBIENT, minecraft:bat, 10, 8, 8
75, jungle, minecraft:bamboo_jungle, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
76, nether, minecraft:basalt_deltas, MONSTER, minecraft:ghast, 40, 1, 1
77, nether, minecraft:basalt_deltas, MONSTER, minecraft:magma_cube, 80, 2, 5
