1, illagerinvasion:sorcerer_hut, HEADING, header:ignore, 0, 0, 0
2, apocalypse_overwrite:modern_country_structure, HEADING, header:ignore, 0, 0, 0
3, apocalypse_overwrite:modern_country_structure, MONSTER, minecraft:zombie, 30, 4, 4
4, apocalypse_overwrite:modern_country_structure, MONSTER, minecraft:zombie_villager, 27, 4, 4
5, minecraft:ocean_ruin_cold, HEADING, header:ignore, 0, 0, 0
6, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
7, minecraft:pillager_outpost, MONSTER, minecraft:pillager, 5, 1, 1
8, deeper_dark:sculk_trap, HEADING, header:ignore, 0, 0, 0
9, incendium:nether_reactor, HEADING, header:ignore, 0, 0, 0
10, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
11, red:jungle_deforestation, HEADING, header:ignore, 0, 0, 0
12, illagerinvasion:illager_fort, HEADING, header:ignore, 0, 0, 0
13, illagerinvasion:illager_fort, MONSTER, minecraft:pillager, 30, 1, 1
14, illagerinvasion:illager_fort, MONSTER, illagerinvasion:marauder, 30, 1, 1
15, illagerinvasion:illager_fort, MONSTER, illagerinvasion:basher, 5, 1, 1
16, illagerinvasion:illager_fort, MONSTER, illagerinvasion:provoker, 30, 1, 1
17, incendium:ruined_lab, HEADING, header:ignore, 0, 0, 0
18, red:sphinx, HEADING, header:ignore, 0, 0, 0
19, incendium:abandoned_tower, HEADING, header:ignore, 0, 0, 0
20, stellarity:chapel_of_light, HEADING, header:ignore, 0, 0, 0
21, minecraft:ocean_ruin_warm, HEADING, header:ignore, 0, 0, 0
22, red:abandoned_house, HEADING, header:ignore, 0, 0, 0
23, red:abandoned_house, MONSTER, minecraft:witch, 5, 2, 3
24, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
25, stellarity:return_gateways/snowy_flying, HEADING, header:ignore, 0, 0, 0
26, red:plains_oracle, HEADING, header:ignore, 0, 0, 0
27, minecraft:village_plains, HEADING, header:ignore, 0, 0, 0
28, red:statue, HEADING, header:ignore, 0, 0, 0
29, illagerinvasion:firecaller_hut, HEADING, header:ignore, 0, 0, 0
30, energizedpower:small_solar_farm, HEADING, header:ignore, 0, 0, 0
31, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
32, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
33, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
34, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 5, 4, 4
35, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 8, 5, 5
36, minecraft:fortress, MONSTER, minecraft:skeleton, 20, 5, 5
37, minecraft:fortress, MONSTER, minecraft:magma_cube, 30, 4, 4
38, apocalypse_overwrite:modern_small_town, HEADING, header:ignore, 0, 0, 0
39, apocalypse_overwrite:modern_small_town, MONSTER, minecraft:zombie, 30, 4, 4
40, apocalypse_overwrite:modern_small_town, MONSTER, minecraft:zombie_villager, 27, 4, 4
41, minecraft:nether_fossil, HEADING, header:ignore, 0, 0, 0
42, minecraft:village_desert, HEADING, header:ignore, 0, 0, 0
43, red:snowy_oracle, HEADING, header:ignore, 0, 0, 0
44, red:flower_oracle, HEADING, header:ignore, 0, 0, 0
